MARK	MUG
LO	LOR
SEMESTER	SEM
THE	THEN
YOU	WE
YEAH	YAH
AM	I'M
AN	THAT
ASSISTANT	SISTER
FROM	FOR
ERM	ER
INTO	TO
SMALLER	SMALL
DO	ONCE
SIAN	YES
IN	WITH
THE	FOR
O	WHOLE
T	THING
BECAUSE	CAUSE
TYPE	LIKE
HMM	NAME
WHAT'S	IS
IS	IT'S
IS	IT'S
VENUE	VALUE
UH	AH
LUCKY	I
THEN	LATER
HURRY	AND
COMP	COM
AND	THEN
I	LIKE
CASTEL	CASTER
THAT	THEN
HAPPEN	HAPPENED
IT	HE
HAVE	I'M
END	THEN
UP	WE
REDO	DO
REDO	DO
CHANGING	TRAINING
COMMITTEE	COMM
THEY	TAKE
TURN	TURNS
YOU	WE
BEST	BATCH
BLAH	AH
HEY	HEAD
WITH	OF
BLAH	BLA
BLAH	BLA
BLAH	BLA
AS	S
AN	AND
THINGY	THING
CAN'T	IT
SHE	ACTUALLY
HERSELF	YOURSELF
SOME	AS
MORE	SOMETIMES
TYPED	TIME
OUR	OR
DATE	DAY
CAN	CAMP
DEFINE	DESIGN
UH	AH
HE	HE'S
ON	YOUR
IT'S	IS
IS	IT'S<SOS/EOS>
IS	HE'S
TAKE	DON'T
OFF	HAVE
ON	OF
HE	IT
ALREADY	CONFIRM
CONQUER	CONFIRM
AWHILE	WHILE
HE	IT
WHAT'S	WHAT
WRONG	STRONG
TEASING	TEACHING
CASTEL	CASTER
YEAH	THEIR
SHI	S
RESULT	RESULTS
AH	LAH
YOU	I
POINT	BY
HE	THEY
POINT	TRIPLE
NINE	AH
JUST	BECAUSE
SIMPLEST	SIMPLES
AND	IN
EH	AH
WHAT	OF
HE	IS
SAY	THERE
SPECIALIZE	SPECIALISE
ZATION	SESSION
IS	STAY
THERE	AT
ANY	THIS
SPECIALIZATION	SPECIALISATION
BIOSPACE	SPACE
ENGIN	ENGINE
DIFF	GIFT
THEN	STAY
ONE	LEH
LAH	LA
OH	ER
BOIL	BOY
SOUP	SUIT
HOT	HALL
ONE	WENT
BUT	BY
POT	BOSS
BOILING	MORNING
BARBECUE	OKAY
AT	AND
THERE'S	THAT'S
ONE	WHY
WHERE	YEAH
NO	DON'T
NO	KNOW
IT'S	YOU
A	AH
BARS	BUS
THEN	THE
OH	LOR
SINFUL	SIMPLE
MEAN	AH
HURRY	HAVE
UP	YOU
SCOLDING	SCOUDING
OH	HOR
WAS	THERE'S
I	WHEN
AM	I'M
UH	ER
CAME	CAMP
EH	A
UNCLE	UNCLES
IS	IT'S
MAH	MA
OR	OF
I	AH
ON	AND
EVENING	IF
EVENING	NOT
HAH	HUH
IS	SHE'S
IS	SHE'S
AH	LA
GARETH	NEVER
AH	HA
VI	MOVIE
GARENTH	GREEN
WONDER	ON
WHO	THE
IS	WHOLE
ROOM	CURRY
HAH	HUH
LET'S	LIKE
ALWAYS	VERY
DON'T	TWO
HAVE	HALF
SAY	YOU
JUST	IT'S
ITCHY	G
LAH	LA
CONTINUE	ANIME
FOUR	BEFORE
HAVE	WANT
THE	TO
THINK	NEXT
OH	LOR
HE	HE'S
SUDDENLY	LIKE
BLEACH	TEACH
GOICHIGO	EGICAL
KOWASAKI	CRISAKY
YEAH	YAH
WATCHED	WATCH
IN	EH
D	P
V	P
D	T
RATHER	WENT
IS	IT'S
EPISODE	ALSO
FORMAT	FORM
A	AND
THEN	YEAH
STOP	START
ERM	UH
WHAT	LIKE
RATING	WAITING
NEW	THEN
ARE	THEIR
THEY	ER
ARE	THEIR
ARE	THEIR
AS	EXIST
IF	EXIST
AS	ER
IF	ACTIVE
IF	IN
AS	IS
IF	IT
AND	PARENTS
LO	LOR
CRYING	CALLINGRY
THE	YOU
CONSOLE	SO
WANT	ONE
TO	THE
AFTERSCHOOL	WITH
UVI	GUY
2PM	M
2PM	M
GUY	U
2PM	M
2AM	M
OR	TWO
2AM	EI
WITH	IF
DON'T	NEVER
FROM	FOR
IT	BROWNIZE
BROWNEYEGIRL	GIRLS
KARA	COLOUR
THEN	THAT
NO	TIME
DURING	DRINK
LOR	YA
FIVE	NICE
STAR	STUFF
NO	SO
PART	PARTS
IT'S	IS
PART	<SOS/EOS>
IS	IT'S
UVI	U
PART	R
THIS	E
DATE	PART
2PM	TWO
ONE	P
THIS	M
DATE	R
DATE	DAY
WHETHER	DO
GOT	GET
IT	THEM
SHOWS	SHOES
I	THERE
SAY	ARE
HOW'S	HOW
CRUISE	TRUE
HE	THEY
CRUISE	CLASS
YOU	I
CRUISE	CLOSE
WHY	WHAT
BYE	DON'T
BYE	MIND
AT	AND
ROOM	ROOMS
BERNARD	BERNERT
ROAD	ROUTE
RUN	WANT
WHERE	WEAR
REALLY	VERY
TAKE	THIRD
IN	YEAR
EARPIECE	THREE
WALAU	WALAO
SET	THAT
THE	OR
THE	YOUR
ALARM	LM
AM	I'M
SUPPOSE	SUPPOSED
RIGHT	AH
EH	EI
WALAU	WALAO
WANT	WAS
IS	BY
WILL	OUR
CLOCK	LONG
JUST	CHANCE
OH	LOR
HE	THEN
WAKE	MEET
UP	LA
SOMETIME	SOMETIMES
NEED	HAVE
AM	MY
AWAKE	WEEK
LYING	LINE
THE	A
BED	BIT
HEAR	KEEP
FORCE	FALL
JUST	YA
WAITING	IT'S
FOR	RELATIVE
HAH	AH
I	MUST
UNTIL	DIDN'T
HALFWAY	HAVE
ASLEEP	A
THEN	HUH
WHAT	WAH
I	MY
TAKE	THINK
EARPIECE	EARPIES
TAKE	CANNOT
LAH	LA
BEEHOON	HOON
HAH	HUH
VEGETABLE	GRADUATE
VEGETABLE	VERY
SO	STABLE
OH	ALSO
CABBAGE	CATADY
CABBAGE	CABAGE
AND	ART
AH	LAH
MINUTE	MINUTES
AH	WHAT
FELL	FIND
BACK	OUT
OH	THEN
POST	THE
IT	PLASTIC
OH	I
MICHELLE	AM
AH	SURE
I	CAN
DID	SHIT
THAT	ALREADY
AH	LAH
SLEPT	START
WHILE	WAS
THE	TO
I	AH
WAH	WOW
AH	LAH
LIVE	LIFE
LIVE	LIFE
AH	THE
DELTA	DATA
IS	HE'S
HE	YOU
HAS	HAVE
NO	YEAH
RECREATIONAL	RECRE
TAKO	⁇
OKAY	OH
IT'S	IS
SPORT	SPORTS
KANG	SAIKANG
HAPPEN	HAPPENED
NO	SO
THEIR	THAT
CHOOSE	SHOES
LOR	HALL
CAREFULLY	HOPEFULLY
AH	LAH
IT'S	YOUR
FRIEND	LIKE
IT'S	THAT
THERE	THEY
ARE	ALL
A	THEY
LOT	ALL
YEAH	EH
LAST	GIRLS
THAT	AT
L4D2	TWO
WILL	LIKE
BLAH	BLA
BLAH	THEN
SAY	SAID
WASTING	BACING
ON	OR
UNNECESSARILY	UNNECESSARY
HAH	HUH
YEAH	YEAHS
GAMES	GAME
GAME	GAMES
WILL	I'LL
DELETE	IT
I	AH
HARD	LIKE
PUT	THEY
IN	OPEN
THEN	YEAH
LET	LAH
IT	J
THAT	THAN
DRUG	GEOG
DRUG	JOB
L4D2	TWO
RIGHT	LAH
HE	YOU
ARE	WHO
OH	FORTY
L4D2	TWO
OH	UH
I	WAH
BUSINESS	BIZ
MANAGER	MAG
AFTER	THE
YESTERDAY	STAY
THAT	ARE
COG	QUITE
END	THEN
UP	ALL
AH	WAH
PRACTICING	FRACTTICING
IS	IT'S
THEY	YOU
ERM	ER
IF	END
NOT	UP
WE	IS
OH	OUR
UP	CARE
WITH	OF
BESIDE	BESIDES
WE	YOU
HE	I
THIS	I
IN	FINISH
MANNER	MEMBER
IT'S	IS
BESIDE	BESIDES
CHEER	CHAIR
FOR	WILL
C	SEE
C	SEE
IT'S	WAS
ONE	NEVER
MORE	MIND
CLARE	CLEAR
CLARE	LEFT
C	SEE
CLARE	CRAP
RECALL	CALL
DID	IT
I	AS
FELL	WELL
NO	OH
DAY	THEN
HE	YOU
HAD	HAVE
POLO	FOLLOW
POLO	FOLLOW
VERY	THEN
SHACK	SHAG
OH	LOR
HE	YOU
AWHILE	WHILE
THAT	LIKE
AH	LAH
HE	I
AWHILE	WHILE
THERE	THE
IS	THERE'S
PART	PARK
WHERE	EH
IS	THERE'S
WHERE	WHEN
THROW	TRAIN
THAT	EH
CATCH	CHECK
TRY	CHOICE
ON	HALL
BACKWARD	WHAT
RAJ	RUSH
ONTO	TO
OR	BUT
KICK	KEEP
HIM	IN
AWAY	MERD
HOLD	GRAMM
OF	FOR
OR	IT'S
GUESSING	JUSTING
WE	I
THE	IN
UP	THROUGHOUT
COME	CUT
THING	SOMETHING
HIT	HEAD
STOMACH	LAH
D	A
SELL	NEED
IN	TO
O	PAY
S	IS
IT'D	WILL
EN	YOU
THEN	MEAN
EU	IN
CANVASS	CANVAS
EXCLAMATION	EXCALATION
MARK	AH
THEN	AND
EX	X
EX	S
V	A
WHAT	WHAT'S
ALL	YOUR
DID	DATE
HUIYIN	YING
THE	TO
TRUTH	CHOOSE
HER	I
EN	UN
PISSED	PEACE
OFF	OUT
F	S
CUP	CLUB
EN	HMM
BIRTHDAY	PROBLEM
SIXTH	SIX
EN	EH
EN	THEN
CELEBRATION	FAMILY
WHAT	AH
STAND	SAME
CHART	CHARGE
SIXTH	SIX
HER	HAVE
DIDN'T	IN
HER	THEY
V	SAY
P	EVERYTHING
UPRIGHT	HARDWARE
NOT	CANNOT
MINGLE	WINTER
EN	EH
ER	YEAH
AH	LAH
SHE'S	IS
IT	YOU
EN	LEH
JOINING	ENJOYING
THAT	NO
THOUGHT	START
IT	WITH
WAS	A
HU	FEW
RACES	HUMANS
CHART	SUCH
THE	JUST
STAND	THEN
CHART	YOU
EN	EH
WORTH	SOUND
IT	BIRTHDAY
THATS	THERE'S
TORTURE	CHECK
RAN	WENT
ASKED	ASK
DIED	DIE
DEAD	TAKE
DOESN'T	TON'T
SHIRT	SHOP
EN	AT
FINISHER	FACIAL
WALK	TALK
VOLUNTEERS	BODY
CURSE	CUT
SWEAR	SEND
LIKE	SIDE
WHAT	I
WE	WANT
DID	ALREADY
MY	I
GOD	GOT
SOME	SO
MUCH	WATCH
RUN	ONE
MAXED	MAX
AH	YEAH
MAKE	PICK
LIKE	<NOISE>
FOUR	DOLLARS
NOBODY'S	NOBODY
AROUND	SARAH
OUT	OR
AH	WHAT
P	TO
TO	BE
WHISTLE	SO
START	STARTING
OH	WAH
IT'S	IS
OH	WAH
IT'S	THINK
OH	WAH
YEASTERDAY	YESTERDAY
FORTY	THIRTY
RAYMOND	REMOVE
TAG	TAKE
COMMENT	OUT
ABOUT	THE
RAYMOND	RAYMENT
CASSANDRA	CASANDRA
RAYMOND	WOMEN
DIRECTLY	DIRECT
WALL	BALL
IT'S	IS
SURPRISING	SURPRISEING
SCANDAL	DOWN
SURPRISED	ONCE
<NOISE>	APRIS
LAST	YEAH
YEAR	SO
YOU	THEY
WANT	ONE
WANT	ONE
THE	LIKE
OBVIOUS	PLACE
IT'S	IS
HOLD	HALL
EN	MM
WE	YOU
CAUSE	THAT
WE	THEY
NIGHT	POINT
OR	RIGHT
PER	HOW
HOUR	PARK
HOURS	HOUR
MAH	MEH
EN	AND
FRIEND'S	FRIENDS
BOYFRIEND	MY
RIGHT	FRIEND
HUIYIN	HUI
CAN	AND
WAY	WENT
OR	OH
OH	AH
LAH	WHAT
NO	OH
I	ARE
THINK	YOU
WILL	I
AIYA	YA
WHAT	HA
AH	I
CLOTH	CLASS
OH	LOR
CLOTH	PROF
OH	AH
PAILS	PURE
BUT	WHAT
FOR	LOR
OR	OH
IS	WITH
KARAN	WHAT
OUT	UP
DATE	UPDATE
LIAS	LIAISE
SUPPLIER	SUPPLY
COLLECT	CUT
AI	LEH
OH	HUH
FELICIA	FINANCIAL
FORGET	HOKKIEN
SHAGGED	SHACK
OH	YEAH
TURE	TRUE
TURE	TRUE
B	P
YEAH	YA
EXTRAORDINARY	EDINARY
BOSS	BUS
BOSS	BALL
OH	LOR
TERM	TIME
MEANT	MANAGED
WRONGLY	KILL
EN	MM
OH	MM
YEAH	YA
YOU	IT
BEFORE	IS
IN	BECAUSE
COULDN'T	CANNOT
BARBECUE	BARBEQUE
WAH	JUST
DOES	MEI
MEIHUI	HUI
KNOWS	NOW
MUM	ONE
MARY	REMEMBER
CHICKEN	CAN
CHOP	HELP
PLEASE	PLACE
AH	ASK
CAN'T	CAN
ORDERING	LINK
IF	IT'S
POT	PORT
LUCK	LAH
YOU	IT'S
WHOLESALE	ALSO
OH	AH
FRIED	FIGHT
NUGGETS	LEGS
SOTONG	CERTAIN
BALL	WALL
FRIED	WRITE
IT'D	WILL
LUCK	LIKE
BARBECUE	BARBEQUE
HOTDOGS	DOTS
OR	AH
SAUSAGES	SUBJECTS
LAH	AH
OR	SATURDAY
SATAY	O
OTAH	R
THEIR	THE
OTAH	AUTHOR
ADVERT	PERSECT
ADVERTISED	ADVERTISE
THEIR	THE
CHOP	SHOP
YEAH	YA
YEAH	YA
OR	OH
E	A
Z	D
YEAH	YAH
YEAH	YA
FOURTEENTH	STARTING
YEAH	YA
THE	YEAH
EAST	IT'S
COAST	CLOSE
ER	<NOISE>
WHAT	AH
EN	ERM
FULLY	FOLLOW
CHECKED	CHECK
EAST	IS
PITS	PIGS
ACTUALLY	THEN
WE	YOU
WRAP	REC
UP	RAPPOK
BAG	TRANSPORT
BOX	POX
IT'S	IS
LAH	ARE
AH	LAH
SHALL	SHOULD
COST	COURSE
EN	LEH
IT'S	IS
FOUR	FIVE
CLOSED	CLOSE
CLOSED	CLOSE
MAYFLOWER	COMM
EN	EH
COURSE	CLASS
LAH	AH
EIGHT	IF
CLOSED	CLOSE
IS	IT'S
IT'S	IF
EN	MM
FUNDS	FUNS
IT'D	IT'LL
IT'LL	WILL
FISH	H
FISH	H
TIMBRE	TABLE
ONLY	NO
TIMBRE	TABLE
WHAT	AH
TIMBRE	TIMBER
PUBS	PARTS
KNOW	THE
AH	LAH
ALWAYS	ALL
FRESH	FRESHIE
THOUGHT	LIKE
EN	EH
I'M	I
C	DAY
AH	⁇
IT'D	IT'LL
LIKE	A
NOT	LAH
PLAIN	PLAY
ROLE	OVER
EN	MM
THINGS	GETTING
DONE	FUN
SERIOUS	YEAR
ALOT	YAH
OF	OTHER
A	YOUR
TO	OPTION
NOW	AH
SENCE	NONSENSE
SERIOUS	SERIES
EN	EM
WHISTLE	WAITER
WHY	WHAT
LUNG	YOUNG
THAT	BAD
HUGE	HUG
LUANG	HIRANG
OPS	OOPS
OPS	OBS
WONDERING	FROM
HOW	HERE
THEIR	R
NAPFA	A
OH	LOR
WITH	VERY
WITH	VERY
NEED	THINK
TO	THAT
RETURN	WRITTEN
BROUGHT	DROP
MY	FOR
IF	THEY
NOT	CANNOT
NO	KNOW
EN	EI
BECAUSE	CAUSE
A	OR
CAMERA	ONE
CANDID	TWENTY
SHOT	SHORT
YEAH	YA
I	IT
DELETED	DIDN'TED
REQUESTED	CRASHED
WHAT	LAH
WHAT	JUST
YEAH	YA
EN	EM
KENNETH	CANA
AND	YA
ARE	YEAH
BELONGS	HOW
TO	WAS
TYPE	KIND
B	G
WHAT	AH
WE	YOU
YEAH	YA
ASKED	ASK
SAY	SAID
IT'S	IS
SAY	SAID
OKAY	OK
OH	LOR
HODS	HOTS
BRUEGEL	OH
BRUEGEL	VULGAR
WILLSON	IN
IS	SUB
SUBCOMS	COMMS
WELFARE	FAIR
YES	THAT'S
OH	ALL
SAY	SAID
MANY	MEAN
THEN	AND
M	A
B	P
DANIEL	THEN
LAH	LA
NOT	ENOUGH
EASY	IS
AH	IT
HOW	HOW'S
TO	A
GROOM	GROUP
M	A
ACTU	ACTUALLY
ER	AI
AH	LAH
OH	ERM
<NOISE>	QUITE
HORIZ	LONG
THEY	NEED
WILL	TO
HOLD	ALSO
EXECUTIVE	NEGATIVE
YA	YEAH
YA	YEAH
YA	YEAH
YA	YEAH
EH	YOU
REFER	PREPARE
POINT	POINTS
SLIDES	LIKES
NATHI	UNTIL
SECT	SIDE
ITS	IS
SHEE	MONKEY
BUT	LIKE
YA	YEAH
NOMINEES	COMMUNIST
AH	LA
YA	BUT
SECT	SIDE
INVOLVE	M
EMCEE	C
EMCEE	C
EMCEE	<NOISE>
EMCEE	C
EMCEE	C
N	AND
SAT	SET
FELLOWS	FELLOW
WERE	WILL
BUY	REPLY
WHAT	I
LUCKY	LIKE
DRAW	IT
<NOISE>	DROP
TORCHLIGHT	LIGHT
USE	YOU
IT	SAID
SHOE	SHOW
BAG	BACK
RIGHT	THEN
YA	YEAH
OKAY	OK
OAKY	OK
PERFORMANCES	SOS
OUT	ALL
HALL	OUR
AWARDS	WORDS
STRUM	RESTAURANT
RESTAURANT	LECTURE
PEOPLE	PAPER
IS	IT'S
EXTRA	JOB
PERFORM	LEH
IT'S	IS
CULTURAL	CULTURE
VOTE	BOOK
DAN	THEN
DAN	THEN
SECRETARY	SECONDARY
ERM	UH
FRESHIE	SHE
EL	L
WOULD	IT'LL
FIFTY	THIRTY
LYDIA	MEDIA
BY	LIKE
LYDIA	LEADER
LA	LAH
N	AND
VOTE	ROBOT
WHAT	WHY
ALAN	ISLAND
IS	IT'S
YA	YEAH
ALAN	THAILAND
KENNY	CANY
KENNY	CANY
REBECCA	REBECLE
SIYAN	AND
YA	YEAH
CHANGED	CHANGE
FIXED	BIG
BE	MAYBE
TERRIBLE	TRIBLE
YA	YEAH
EH	IT
OURS	HOURS
STICK	TAKE
F	OTHER
TEND	THEN
FRIEND	PLAN
OF	THE
LIKE	I
THAT	THINK
SYS	HIS
CLICK	CLIQUE
CLICK	CLIQUE
MISSED	MISS
CANDICE	B
2	TWO
EH	EI
YOU	YOUR
ADD	AT
PASS	PAST
FAIL	YEAR
IT'S	WE
STILL	STAY
KNOW	THEN
I	YOU
WAS	ARE
WOULD	WILL
DELETE	IT
SPENT	SPEND
IT'S	IS
SAME	SAID
IT'S	IS
IT'S	IT
AN	AND
TRADE	STRAIGHT
THEM	THEN
FEEL	FAIL
YA	YEAH
WORKED	WORK
HUAT	WHAT
HE'S	IS
GUY	GUYS
COMPILE	COMPOUND
SUBMITTED	SUBMITED
REPHRASE	REPLACE
WORK	WORDS
WE	THEY
SAY	SAYS
COMPILE	COMBINE
AND	N
YA	YEAH
IT'S	IS
UP	OUT
EH	LEH
YA	YEAH
VALUATION	EVALUATION
PART	BUT
IS	COMPANIES
CHOSE	AROUND
YA	YEAH
CHANGED	CHANGE
OLD	OWN
THIS	THESE
GAINS	GAMES
THEIR	ARE
PROFITS	PROBABLY
GAINS	GAIN
DIPOSAL	DISPOSE
THEIR	THE
OWN	OLD
LOR	<NOISE>
CHOOSE	WILL
IT	SAY
CHOSE	CHOOSE
CAUSE	BECAUSE
THERE	THAT
WAS	IS
FEW	TWO
BECAUSE	CAUSE
AH	LAH
A	HOR
LA	LAH
I'M	AM
GLAD	THAT
IT'S	IS
ASSIGNED	ASSIGN
BECAUSE	CAUSE
YA	YEAH
YA	YEAH
GLAD	CLEAR
IT'S	SPEAK
PRE	THAT
ASSIGNED	TIME
THE	AT
HE'S	IS
IS	WHAT'S
THERE'S	THAT'S
CO	CON
MEH	LEH
NORMAL	FORMAL
SALSA	ANY
ANYTIME	TIME
AH	LAH
YA	YEAH
LOR	LAH
OUR	ARE
RATIOS	RACIAL
IS	IT'S
EH	LEH
YOU	IT
YEAR	BUYER
YA	YEAH
HE	YOU
SUM	COME
UP	OUT
GROUP	GOOD
LINE	TIME
YA	YEAH
YA	YEAH
WRITE	ARE
YA	YEAH
IS	IT'S
ALREADY	REALLY
CASE	K
LIKE	THAT
O	ONE
FAIR	FAN
VALUE	VERY
SEMINAR	SEM
THE	THAT
SCOT	SPORT
SCOTS	BECAUSE
COPORATE	CORPORATE
REFER	PREFER
IT	EAT
REFER	REPLY
EX	AT
HOLDI	YOU
B	P
AND	M
FILES	HOUSE
AH	ONE
SAFE	STABLE
YA	YEAH
STRESSED	STRESS
RIGHT	AH
RESULTS	RESULT
EH	AH
YA	YEAH
BY	ABOUT
SHOULD	WILL
SAFE	SAME
SCROLL	JIO
YA	YEAH
DERIVATIVES	DERRITIES
YA	YEAH
DE	THE
DERIVATIVES	DERIVATIVE
TWP	TWO
EDMUND	ATMUND
CHONG	CHIONG
TAN	TUMB
BOON	BLONDE
CHONG	CHIONG
DERIVATIVES	ACTIVITIES
KANG	JOHOR
TOOK	TWO
WHEN	AND
JOSEPH	JOSER
KANG	COME
JOSEPH	JASON
KANG	JASON
OUR	AROUND
JOSEPH	JUST
KANG	COME
MY	I
FRIEND	PAY
WE	WILL
ON	ONE
IT'S	IS
CAP	K
DERIVATIVES	THEIRITIES
FRIEND'S	FRIEND
SENIOR	SENIORS
SAY	DAY
KANG	SERVE
IT'S	WITH
JOSEPH	SOCIAL
KANG	ACCOUNT
SUMMARY	SUMMER
M	MAKE
THICKER	TAKEER
BIND	BUY
LOR	OH
YA	YEAH
JOSEPH	JUST
KANG	COME
FROM	FOR
LESSON	EXAM
CHART	C
THEY	DAY
EH	SURPRISE
AND	LEH
TEST	TELL
SHAM	SHAN
FOR	APPLY
WOULD	WILL
MAH	ENOUGH
FELICIA	MALAYSIA
FELICIA	MALAYSIA
FROM	FOR
YAH	YEAH
LAO	WALAO
IS	IT'S
IS	IT'S
YA	YEAH
KNOW	NOT
SHE'S	IS
BAHASA	SIGN
NOR	LOR
AH	ER
OTHER	DINNER
I	LAH
YOU	PEOPLE
YAH	KNOW
HE	IT
IN	A
THESE	THIS
AND	THE
AFFAIRS	AVEST
BUT	ABOUT
I	IT'S
GOT	A
HIS	IS
THE	THEN
KEEPER	AH
SHE	HISTORY
MADE	MAKE
ALL	YOUR
WAH	OH
U	P
YAH	YEAH
YA	YEAH
FEEL	THINK
DUTIES	THIS
SHARES	STRESS
PRICE	FIVE
IT'S	IS
ACTUALY	ACTUALLY
OR	OH
YOUR	THEIR
LEH	THEY
REVOLVE	BEFORE
PLUS	LAST
FOUR	HALL
LAH	AH
BORDERLINE	LINE
FIRST	PERSON
BECAUSE	CAUSE
ENTRIES	JENALTRIES
JOURNAL	OTHER
ENTRIES	COUNTRIES
ENTRIES	ENTRY
EH	LEH
THERE'S	IS
TEXT	TAX
TEXT	TAX
TEXT	TAX
SLACK	SCARY
WE	YOU
STEP	TAKE
MINUTES	INSTEAD
LATE	RIGHT
FEN	BADMINTON
YA	YAH
BUT	LIKE
STAYED	STAY
REBECCA	REBACLE
I'M	AM
REBECCA	BETTER
YA	YEAH
YA	YEAH
AND	RACKET
AND	EI
CANDICE	CANDY
AMELIA	AMILIAR
FELICIA	MALAYSIA
KENNY	CANY
SI	REBACLE
KENNY	CANY
SHAM	SEAN
ALAN	ISLAND
REALY	REALLY
AH	YEAH
AND	NORMALLY
LOOK	NOT
OKAY	EI
ESTHER	CASTER
FAIR	BAD
TALKS	PROPS
NOR	LOR
YA	YEAH
YOU	THEY
APPLIED	APPLY
JOBE	JOB
THINK	NOTHING
THERE'S	IS
IGNORE	KNOW
LEH	EH
FEW	APPEAL
DURING	ACTUALLY
CONSIDERED	CONSIDER
IT'S	IS
TO	THEY
GRADUATES	IS
RID	LOR
IT'S	IS
WHY	ONE
BUT	AH
THERE'S	THAT'S
LA	LAH
YA	YEAH
IT'S	IS
REALLY	ALREADY
IT	YOU
STATE	STAY
LA	LAH
THEY	YOU
LIVE	GIVE
THEIR	THE
HUH	AH
I	I'M
OPS	OFF
LADIES	THIS
YAH	YEAH
YAH	YEAH
LADIES	LADY
YAH	YEAH
AFTER	HAPPENED
YAH	YEAH
YA	YEAH
GRADUATES	GRADUATE
IT'S	IS
CREDIT	ER
SWISS	CREDITSS
WERE	WILL
OFFERED	OPEN
RETRENCHED	RETRENCH
LA	LAH
RECR	RE
RETRENCHED	CHANGE
B	P
GLAD	BLACK
SUISSE	WE
RETRENCHED	CHARGE
OPS	OUT
LEH	SAY
YAH	YEAH
COMPARE	COMPARED
OPS	OFFS
BANK	BAND
OPS	OTS
FIRM	PER
ONE	I
LA	LAH
K	OKAY
SING	SINGING
IT'S	IS
EVERYDAY	YOU
YOU'RE	ARE
YAH	YEAH
INCOME	CLASS
OPS	UPS
ACCOUNTANT	ACCOUNTING
A	ER
ATTACHED	ATTACH
REALLY	OBSIDALLY
OPS	OUTS
TRADES	TRIPS
THAT	THE
CALL	CORE
THEN	I
KNOW	UNDERSTAND
YAH	YEAH
THAT	LIKE
HAD	HAVE
REINSTATE	INSTEAD
UP	OUT
OF	OR
READS	RATE
IT'S	I
THE	THINK
FILE	AT
AND	FOUR
FORMULA	MINUTE
OUR	A
WHY	WHAT
THAT	THE
BY	I
YOUR	THE
DOING	YOU
TO	KAY'S
HIT	TWENTY
OF	ALL
SWEE	CRAZY
I	LAH
SWEE	CRAZY
GOT	ARE
KWEE	CHRIS
SWEE	WE
MIN	HIM
AH	LAH
YING	HER
TO	INTO
IT'S	TO
YA	YEAH
STAYED	STAY
BITES	BUT
BITES	FIGHTS
TWO	DO
FIFTY	T
FIFTY	MOST
ONE	CAPITAL
FOR	OF
FELICIA	MALAYSIA
ALAN	ATLAN
TWO	AND
ALAN	THEN
HAO	HOR
THEY	YOU
YAH	YEAH
LA	LAH
YAH	<NOISE>
EH	END
NOT	UP
WEI	THE
HE'S	IT'S
LA	AH
BUT	YEAH
CAST	CAUSE
LOH	LOR
MINE	MY
PLUS	CLASS
KNOW	NO
LOH	LOR
COOKED	GOOD
HOME	HONG
COOK	KONG
LOH	LOR
REL	WHEN
UNCLES	UNCLE'S
MINE	MY
MOTHER'S	MOTHERS
EN	ERM
UNCLES	UNCLE
AUNTIES	ARTIST
HOUSE	HALF
LOH	LOR
MINE	MY
IT'S	IS
MINE	TAKE
TAKE	<SOS/EOS>
WILL	WE
SOMETIMES	THAT
ER	EM
ABALONE	EVERYBODY
LOH	LOR
DAY	ACTUALLY
FRIEND'S	FRIENDS
NO	NOT
YEAH	YA
FRIEND'S	FRIENDS
FAMILY'S	FAMILIES
LOH	LOR
BECAUSE	CAUSE
FRIEND'S	FRIEND
DON'T	ALSO
THERE	THEM
LOH	LOR
AH	LAH
I	LIKE
WOULD	WILL
HAVE	WE
YEARS	YEAR
YOU	I
NORMAL	ACTUALLY
LAH	NEVER
THEN	MIND
BUYS	BUY
ALOT	LOT
KINDS	KIND
AND	THAT
SWEETS	SITS
BECAUSE	CAUSE
MINE	MY
STRICT	STREETS
SWEETS	SWITCH
THESE	THIS
ONE	AH
WHAT	AH
DAD'S	THAT'S
HOH	HOR
EVERY	FREE
YEAR	AH
IS	YEARS
OVER	ABOVE
MUCH	RIGHT
MENTION	MESSAGE
WHEN	ALREADY
LOH	LOR
FAT	SEC
ONE	AH
FAT	FAIL
MENTION	PASSION
OH	FOR
MINE	MY
HAS	HAVE
POT	REPORT
LUCK	LIKE
FOOD	PUT
AT	AND
MINE	MY
SUAY	SAY
AH	LAH
GO	OTHER
PACK	SCHOOL
PACK	PAIR
PRESENTABLE	ONE
WHEN	WE
I	LIKE
LOH	LOR
MINE	MY
NEARLY	REALLY
EVERYBODY	YOU
HELP	CAN
ME	BE
FAT	SO
FAT	FATATIC
IMAGINE	WE
JUST	EITHER
BRINGING	BRING
DRINKS	DRY
DESSERT	DESERT
POTATO	PORTER
FAT	PREFECT
FAT	DIFFICULT
ER	OF
AH	MY
MINE	LIFE
OUR	OR
NEIGHBOURS	PAPERS
MINE	MIGHT
NEW	GOOD
YEAR	D
GOODIES	S
BACK	THAT
EAT	IT
LOH	LOR
BUEI	BUAY
EAT	IS
DON'T	DO
LIKE	LAH
ABOUT	BUT
NOW	ARE
FIFTEEN	FIFTY
<NOISE>	OKAY
AH	LAH
WEEKENDS	WEEKEND
I	LAH
MEAN	WITHIN
ROUND	ONE
WEEKENDS	YEARS
DON'T	TO
MIGHT	MUST
WHERE	SOMEWHERE
