WIN	WIND
EH	I
TABLE	TIMETABLE
THE	THAT
TABLE	ROLE
YOU	ONE
SAY	IS
ONE	SAME
HAVEN'T	NEVER
YET	EH
CHEAPO	CHEAPER
SUGGEST	JUST
KNOW	DO
MEAN	ME
ATTENDANCE	ATTEND
EFFECTIVE	EFFECTIVELY
ON	FOR
THEN	THREE
ON	LIKE
YAY	YEAH
CLASH	CRASH
LEH	EH
ORIGINAL	GRADUATE
K	OKAY
AH	HELLO
AH	LOR
ONE	WHAT
OH	WAH
WHY	ONE
NOT	WHAT
AH	UH
HAH	HUH
INDEX	INJEX
K	OKAY
PRINT	PRE
SCREEN	SCHOOL
HAH	HUH
LOH	LOR
BALLOTING	THING
NOT	AH
OR	OH
BALLOT	JIALAT
K	OKAY
LINKS	STUDENTING
EXAMINATION	EXAMINER
STUDENT	WAS
LINK	STANDING
INTRO	CHOIR
WHERE	WHICH
I	DAY
SLOT	STOP
A	E
A	O
HERE	YEAH
AH	UH
HAH	HUH
AH	UH
HAH	HUH
LEARN	STUDENT
BAD	WHAT
EH	EI
JAN	TIAN
OH	THAT
PITCHING	TEACHING
AGGRAVATION	ALGORITHM
WORK	POWER
THEN	UNTIL
IN	AND
TO	WILL
ERM	AH
THEIR	THE
NAMES	THINGS
OCCUR	LOCAL
RESIDENCE	RESIDENT
IS	IT'S
OF	ALL
PRIDE	WRITE
IT'S	TO
GAMES	GAME
ERM	AH
IT'S	IS
PART	ONE
IT'S	IS
LA	LAH
<NOISE>	PEOPLES
IT	THROUGH
SOME	SOMETIMES
LA	LAH
RECOGNISED	RECOGNIZED
GOAL	GOLD
POST	COAST
DRIBBLE	GYMBLE
GOAL	GOLD
ERM	EM
MEAN	A
TIME	MEANTIME
IN	WHEN
THE	I
TIME	THAT
BEEN	BE
LA	LAH
DOWN	OUT
SO	ALSO
LA	LAH
BECAUSE	CAUSE
ITS	IS
A	THE
LO	LOR
I'M	UN
OBLIGATION	OLIGATION
LA	LAH
SURVEYS	SERVICE
AH	ER
AH	LAH
WAS	CAUSE
HAVE	WILL
BEEN	BE
THESE	THIS
HELP	COME
IT'S	IS
CHARITABLE	CHINESE
AH	LAH
NOT	NO
MEANINGFUL	FOOD
AS	HAS
MORALLY	MORRIE
AH	I
UH	ER
DANCER	DANCE
UP	RESULT
THEME	TEAM
VICTORIAN	VICTORIA
VICTORIAN	VICTORIA
MEAN	THINK
N	AND
THESE	THIS
LA	AH
THESE	LOR
ARE	JUST
THE	A
LO	LOR
QIFA	FA
NEIGHBOURHOOD	NEIGHBORHOOD
LA	LAH
DAD	THAT
THAT	THE
I'LL	WILL
YEAH	YAH
DAD	THAT
INSTITUITION	INSTITUTION
<NOISE>	EN
I	A
LIKE	LOT
JUST	BIBLE
KEEP	I'S
DREAMING	KEEPING
A	WITH
BIT	IT
JUST	WAS
CARRY	THIS
ON	CAREER
LA	LAH
CANE	KILL
HIT	HE
LA	LAH
MINE	MY
LA	LAH
SCHEMING	SCAMING
STEAL	STILL
STEAL	STAY
LA	LAH
EH	LEH
LIKE	RIGHT
SCOLD	SCHOOL
CAMPING	CAMPAIGN
YEAH	ER
THESE	THIS
CLIMB	PLAY
CAMPING	GENTING
I	MY
AM	M
BRUNEI	BRUNAI
METRES	METERS
HEIGHT	HIGH
ALTITUDE	ATTITUDE
SICKNESS	SINGERS
THROB	TRA
YOUR	A
FALL	FOUR
SICK	SIX
ON	OUT
A	OF
SICK	SEE
YOU	HOW
LA	AH
WHERE	WHEN
REACH	WHICH
TENT	TEN
BAG	BAD
RE	REALLY
IN	YOU
ME	MID
METRES	METER
FOOD	AT
AND	AH
SUPPLIES	SURPLUS
THESE	THIS
CARRIED	CARRY
WOMEN	WOMAN
THESE	IS
ARE	AH
THE	LIKE
FACE	FEES
WRINKLES	WINDLES
BACKS	BAGS
HUNCHED	MUCH
THEY'RE	ARE
THEIR	BUS
BASKET	GIG
HUGE	SHOES
ALL	OUT
WAY	WEIGHT
OVERTAKE	TAKE
BACK	BACKS
BASKET	CAKE
LO	LOR
LA	LAH
OH	LOR
THAT	THE
USE	USED
BRUNEI	BONA
THESE	THIS
LA	AH
BRUNEI	BRUNAI
WALK	WORK
ERM	ER
MISSIONS	MISSION
LA	LAH
I	FOUR
FALL	TO
ASLEEP	SLEEP
SAID	SAY
WERE	WAS
WEREN'T	WON'T
LO	LOR
IS	THAT'S
PULL	PUT
LO	LOH
BRUNEI	LAY
NINTH	NINE
WILL	IT'LL
SENSE	FEEL
CAMARADERIE	CAMMORALITY
LO	LOH
LA	LAH
COMMANDER	COMMANDOS
AH	I
NOH	KNOW
UGLY	AUNTIE'S
SHOWN	YISHUN
INTERESTED	INTRENT
IN	I
FOR	ON
THEIR	YOUR
COMMANDER	COMMANDO
COMMANDER	COMEDY
UP	OUT
ABLE	EVEN
TO	WILL
ONE	AH
WILL	TO
PAST	PASS
LO	LOR
AO	SO
MOST	SMALL
WHAT	I
ELSE	WAS
HAD	HAVE
S	WAS
THEN	I
CALLS	COURSE
QUERIES	CORRECT
PLEASE	PIECE
HAND	TIME
INSIST	SEE
EH	BUT
S	ASK
WON'T	TO
ACCEPT	SET
THAT	THE
LO	LOH
STILL	YOU
OH	OR
IMPOSED	REPOSE
PAYERS	PLAYERS
THE	YOUR
FACT	EFFECT
LIKE	BUT
TEMPORARY	DEBRUARY
YOUR	A
AH	YEAH
NOH	LOR
WE	B
PAY	P
IT'S	IS
THINGS	THING
THEN	EH
THEN	ER
TAX	THAT
LA	LAH
LA	YOU
NO	DON'T
NO	KNOW
RIGHT	LAH
LO	LOR
MARCH	MUCH
SAD	SET
RIGHT	LIKE
LIKE	ER
KIDNEY	KIMI
FAILURE	PLAY
S	IRAS
ON	OH
S	CROSS
S	IRAS
COAST	HALL
N	IN
REALISE	REALIZE
APPLIED	APPLY
LA	LAH
ALL	ALONG
THEORIES	THEORY
LEH	LAH
LA	LAH
LA	LAH
LO	LOR
RAISE	WASTE
HAND	HANDS
MATTER	BETTER
THAN	AND
SAYING	SAY
LA	AH
WHAT	BUT
LA	LAH
HAVEN'T	WON'T
REGRETTED	REGRETED
LA	LAH
LA	LAH
ERM	AH
LA	LAH
THAT'S	JUST
OVERALL	LOR
STRENOUS	STRANOUS
DON'T	ALTHOUGH
CURSE	CALL
SWEAR	SO
OH	LOR
LA	LAH
MISTAKES	MISTAKE
LA	LAH
THEY	WE
THE	INTO
OUR	OF
SHOULD	TO
TREAT	THREE
HIS	IS
LO	LOH
LA	AH
LO	MAH
CHINH	CHI
WAS	YOUR
FREE	FEEL
IT'S	IS
TEMPLES	TEMPLE
TOURIST	WEEKS
EXEMPT	EXAM
IT'LL	WILL
ERM	UH
IT'S	IS
IT	IN
SCAM	SKILL
LO	LOR
LA	ARE
LO	LOH
POH	BOON
JEWELLERY	JEWELRY
THE	VERY
SHOP	SHOCK
READ	REC
LANDMARKS	MARKS
TRUST	CLASS
WERE	WILL
DISCUSSING	DISGUSING
HE	THEY
FLAWS	FLOORS
HE	WE
THERE	THAT
STORE	STOCK
LA	LAH
WE	YOU
TOURISTS	TOURIST
WHAT	BUT
FLAWS	FOUR
SHABBY	SHARE
BUY	MIND
SUSPICIOUS	SUBSPRITION
LATER	AH
WAIT	FOR
FIRST	BREAKFAST
SCAM	CAMP
SCAM	CAMP
SCAM	CAMP
INCIDENT	CONSIDER
JOURNEY	DRAWING
SO	THEN
MENU	MANUAL
HERE	YEAR
ENEMY	ANOMY
SCAM	CAMP
LOGIC	LOR
NO	DON'T
CAR	CLASS
MOTORBIKE	MOTOR
MOTORBIKE	BIKE
LOWEST	LOWER
CHAIN	TRAIN
MOTORBIKE	BIKE
MOTORBIKE	UP
MOTORBIKE	BIKE
PAVEMENT	PAYMENT
NOH	LOR
SKILLFUL	SCREWFUL
LA	LAH
AVOID	WRITE
DE	DANI
MINI	MINIM
RIDGE	WHICH
VEGETATED	REGGIATED
LA	AH
SAND	SEND
LORH	LOR
SAND	STAND
YEAH	YA
UH	AH
STAYED	STAY
NIGHT	NINE
LO	LOR
CAUSE	BECAUSE
BRAVE	SAFE
BOOK	WORK
THAT	THE
BOOK	PUT
AND	EH
THE	ERM
END	IF
IS	WHAT'S
THEIR	YOUR
BEEN	BE
ARE	LAH
WORLD	WALL
SHELTER	SHORTER
ERM	AH
AH	LAH
LA	AH
MINE	THEM
STORIES	MINEORIES
LAND	LAB
ERM	UH
POLPOT	IPOD
THERE'S	ARE
BUNCH	ONE
PAY	CREATE
AH	ER
AGRICULTURE	RECULTURE
WERE	WILL
CAMBODIA	CAMBODING
BETTER	VERY
CORRUPTS	CORRECT
GOOD	GROUP
THE	YOUR
COUNTY	COUNTRY
KILLING	KILL
REASONING	REASON
BARRACKS	DIRECT
KILLING	HEALING
FIELDS	SKILLS
KILLING	KIDING
FIELDS	SKILLS
ENEMIES	ANALYSIS
ENEMY	ADAMY
TREE	THREE
LO	LOR
MORBID	BODY
AH	YEAH
NOH	LOR
ONE	OKAY
THEIR	LAH
ELECTS	LIKE
PARANOID	BAD
THAT	NOW
THEY	THERE'S
ITS	IS
LA	LAH
LA	LAH
HOVERING	HOLDING
MEANT	WENT
THE	ALEX
CORRUPT	CORRECT
RUNNY	YOU
NOSE	KNOW
SALAD	SAD
IS	IT'S
ALREADY	EH
ASIAN	ASIA
SUPERMARKET	MARKET
ASIAN	AGENT
SERVE	SURF
THEN	THAT
LA	LAH
FRANCE	FRONT
LIKE	THERE
THERE'S	IS
SPEED	PIECE
ZOOM	ROOM
PAST	PASS
LIE	LINE
LIE	LINE
LO	LOR
THIS	LAH
IS	ANYWAY
A	SIDE
SIDETRACK	TRACK
LA	AH
LA	AH
ASIAN	ASIA
EVE	IF
CHEESE	CHANGE
IS	IT'S
SUPERMARKET	MARKET
ROTTEN	ROTON
METRE	METER
DELICACY	DIFFICULTY
LIKE	THE
SERVE	SURF
SALAD	UP
SALAD	CERE
SALAD	STANDARD
SPECIALTY	D
DOLLAR	DOLLARS
RETURN	TURN
NAVAL	NEVER
TWO	DO
EI	EH
TRAIN	TRAINING
BRUNEI	BRUNI
<NOISE>	YA
INPRESARIO	IMPRESARIO
NATIONWIDE	WHITE
WE	WILL
SOME	SONG
EN	MM
DUET	WET
COMPOSITION	CONVERSATION
ER	IMPRESARIO
SENIORS	SENIOR
SENIORS	SENIOR
DISCUSSTION	DISCUSSION
AH	LAH
SPEAK	PICK
DON'T	THOSE
SPEAK	PICK
YOU	WE
AH	LAH
CONSTITUTE	A
TEN	FIVE
YOU	WE
LA	OUT
AH	OH
NAVAL	NEIGHBOUR
EN	MM
AH	UH
HAH	HUH
<NOISE>	NOTES
DEMOLITION	DEMOSITION
SEA	C
L	K
SESSIONS	SESSION
EVE	IF
EVE	E
OF	FOR
HONEY	ER
LEMON	HONEYMMAS
HOW	HALL
EM	MM
I'LL	WILL
LA	LAH
SO	IDEAS
NATIONWIDE	WHAT
IDOL	IDEA
<NOISE>	HAH
YEAH	YA
LUCK	LIKE
TURE	TRUE
TURE	<NOISE>
IT'S	IS
IS	HE'S
AH	CAREFUL
GIRLS	BECAUSE
ET	AST
IT'S	IS
ER	UH
FACE	IS
AH	LAH
RE	CANNOT
PAY	PREPARE
LOR	AH
COMPARABLE	COMPARIBLE
AH	LAH
OH	<NOISE>
EXHIBITION	EXHIVATION
JOHOR	JOHORE
ORGANISE	ORGANIZEED
<NOISE>	EH
I	R
I	LIKE
R	IA
CULTURAL	CULTURE
HARMONY	LEH
TRUE	YA
SEE	C
SEE	C
SUBSIDISE	SUBSIDISED
LA	AH
NEVERMIND	MIND
<NOISE>	SPORTS
GAMBLER	GAMES
SUSTAIN	SUSTANT
TOURNAMENT	TOMENT
TAXES	A
POKER	SPORTER
UNCERTAIN	EXCITED
GAMBLE	TEMPLE
MAH	AH
ACCOUNTANT	ACCOUNT
ENGINEER	ENGINEERING
ENGINEER	ACTUALLY
RESOURCE	RESULTS
OH	MAH
<NOISE>	LEH
BIZ	BUSINESS
AH	LAH
SPECIALISATION	SPECIALIZATION
PAY	PRE
<NOISE>	AH
DEPEND	DEPENDS
ELEC	ELECTIVE
CAUSE	BECAUSE
THESE	THIS
ITS	IT
IT'S	IS
ITS	IT'S
ER	A
ITS	IS
ITS	IT'S
SMALL	MORE
AND	AN
INTERACTIVE	ELECTIVE
AH	LIKE
I'M	ERM
EN	YA
LEVEL	NEVER
THREE	SEE
TAXI	HEXIS
I'VE	AM
OH	<NOISE>
<NOISE>	EH
TYPE	DIALECT
CHINATOWN	TOWN
THERE'S	IS
CHINATOWN	TOWN
OKAY	EH
THIS	THESE
YAH	YA
ERM	ER
AVIATION	AVATION
TRADE	TRAIN
SOURCE	SAUCE
LOH	LOR
FUEL	FIELDER
ER	AH
HIT	HEAT
YAH	YA
AH	YA
BROKERING	PROGRAMMING
YUP	YA
EM	<NOISE>
EQUAL	EQUALS
BUOYANCY	BUANCY
LOH	LOR
BUOYANCY	BONDING
STABILITY	STIBILITY
TYPE	START
ERM	ER
DEPTH	THAT
<NOISE>	KARANG
FATTY	FAIRY
RING	WAY
KALLANG	GOVERNMENT
AH	LOR
LOH	AH
MECH	MECHANICAL
ENGINE	ENGINEERING
MECH	MECHANICAL
ENGINE	ENGINEERING
DRY	JOY
YAH	YEAH
EM	LOR
RIGOROUS	REGAROUS
LOH	LOR
AH	LOR
LOH	LOR
AH	OH
UP	OUT
IT'S	IS
ER	AH
FOLLOWING	FLOORING
ITS	IT'S
POLE	BALL
LA	AH
POLE	BALL
AH	LAH
EFFORT	LAH
EM	MM
ERM	ER
TOOK	TO
YAH	YA
DIG	DID
DIG	DID
GRASS	GLASS
SHEET	SCHOLARSHIP
SHEET	CANVASSING
ITS	IT'S
MUDDY	MONEY
THEY'LL	WILL
YAH	YA
YAH	YA
DRAIN	TRAINING
CLIMB	COME
DRAIN	DREAM
DARK	HARD
LAH	LOH
WALKING	WORKING
OUT	WORKING
LAH	LOR
YAH	YEAH
KARUNG	KARANG
YAH	YA
YAH	YA
AH	LAH
EM	MM
FLYERS	FLYER
YAH	YEAH
MINISTER	MINISTERS
ROADMAP	MAP
AT	AH
LEAST	THIS
MINISTER	MINUTES
AH	LAH
AH	LAH
GROW	GO
UP	OUT
THEY	THE
IT'LL	WILL
SHIFT	FEES
THEY'LL	WILL
INCENTIVES	INCENTIVE
AH	LAH
HER	HALL
IS	IT'S
ERM	ER
HOW'S	HALL
OKAY	OK
STRINGENT	STRANGER
TESTS	TEST
EARMARK	MARK
YAH	YEAH
LAH	AH
YAH	YA
IS	IT'S
LA	AH
YAH	YA
THAT	THERE
YAH	YA
LAH	LOR
REGULARS	REGULAR
TASK	PASS
LOH	LOR
LOH	LO
NAVY	MAYBE
WAR	WALL
ROBBERY	LIBRARY
UH	EH
UH	AH
YAH	YA
YAH	YA
AH	LOR
ME	COME
LAH	UP
AH	ER
PERKS	SPORTS
ARE	YEAH
LOH	LOR
YAH	YEAH
ITS	IT'S
AN	OUR
WHAT	AH
LOH	LOR
MINE	MY
SINGLISH	ER
STUTTER	STARTED
ENLIST	LEAST
AH	LAH
VENTURE	ADVENTURE
ITS	IS
MOUNTED	TALK
LOH	OH
IT'S	HE'S
LENGTH	LINE
VERY	IT'S
YAH	YA
GUESTS	GETS
MARINA	AMMARINA
YAH	YEAH
MINE	MY
LOSS	LOST
YAH	YEAH
STEEP	SLEEP
ER	AH
LAH	AH
LOH	LOR
<NOISE>	HAH
GAUGE	GAGE
YAH	YA
IT	YOU
WORK	AH
<NOISE>	SO
YAH	YA
TRICK	TRIP
AH	LAH
LAH	LOR
<NOISE>	MM
FEED	READ
YAH	YA
EM	MM
TRICK	TRIP
INCUR	INCER
COSTS	COURSE
OKAY	OK
YAH	YEAH
HANDBALL	SAMPLE
YAH	YA
YAH	YA
YAH	YA
LOH	LOR
YAH	YA
LOH	LOR
<NOISE>	YA
EM	EN
<NOISE>	EN
CHEEM	CHIM
IT'S	IS
EM	MM
AH	MAH
THINKS	THINGS
ENCRYPTION	INCRICTION
<NOISE>	OK
MM	HMM
EM	MM
LOH	LOR
<NOISE>	NEIGHBOR
I	YOU
YAH	YA
YAH	YEAH
TRAIN	CHANGE
METRE	METER
YOU	HE
LOH	LOR
ER	AH
YAH	YA
YAH	YA
LAH	AH
ENDORSEMENT	ADORSMENT
AH	EASIER
EM	ER
AH	MAH
AH	LOR
AH	LAH
JAZREEL	JSUA
DOUBLE	W
JAZREEL	OH
ORIGINATED	ORIGINAL
MICROWAVE	WITH
PRODUCT	PRODUCTS
BIAS	BUYERS
LOH	LOR
INQUIRIES	INCRIES
CORRESPONDING	COORPONING
STANDS	STAND
FIELD	FEW
LAYMAN	MAIN
TERMS	COM
DEEP	TAKE
ARE	THEIR
CALLED	CALL
FLEXI	FLEXIBLE
FLEXIBILITY	FACIBILITY
CLOCK	CROCK
CLOCK	CLUB
OUT	AH
LAH	<NOISE>
SHRINK	SWIM
JAZREEL	JUSTER
AH	LAH
YOUR	A
HELP	HOUSE
INDIRECTLY	DIRECTLY
EXEC	EXAM
UM	AH
EITHER	A
FAXES	FIXES
CALL	CALLED
ORACLE	ORGAN
ER	AH
COMMUNICATIONS	COMMUNICATIONSS
PARTIES	PARTY
ER	AH
AH	ER
IF	WITH
INCLUDED	INCLUDEED
UH	AH
GUIDANCE	GARDENS
ARE	THAT
LETTER	LEVEL
LAH	AH
MATTERS	METALS
HUH	AH
IS	IT'S
HUH	HA
AH	HAH
A	YOUR
UNDERGRADUATE	GRADUATE
ER	AH
KEDAH	KENA
SORT	SOURCE
MOLECULAR	MOICULAR
LOH	LOR
LAH	AH
FRAME	TIMING
OH	ON
POLYHYDROXY	C
ALKALOID	AS
ACID	IT
BIODEGRADABLE	DEGRADABLE
AH	PRODUCE
MICROORGANISM	ORGANIZEM
BACTERIA	MATERIAL
STARVATION	CONDITIONALATION
CARBON	COMMON
SOURCES	SOURCE
STORAGE	STORIES
CELL	SALES
GRANULE	BRAND
FORM	UNIFORM
SCIENTIST	SUDDENLY
FURTHER	FUTURE
CHAIN	CHANGE
ER	AH
PLASTICS	PLASTIC
WERE	WHEN
THIS	THESE
STAGE	DAYS
USAGE	USER
PROPERTIES	PROPERTY
ASK	US
IS	IT'S
RECOMBINANT	RECCOMMINANT
FEED	FIT
WTIH	WITH
SUBSTRATE	SOSUAD
EXTRACT	EXTRA
EXTRACT	EXTRA
SCOPE	DESCLAP
SEGMENTATION	FERMENTATION
EXTRACT	EXTRA
DRY	TRY
BRISTLE	BLISTER
BACTERIA	MATERIAL
ELASTIC	PLASTIC
A	THE
A	THE
DIFFERENT	DIFFERENCE
SEGMENTATION	FERMENTATION
MOLECULAR	MEDICAL
STUDIES	STUDY
GENE	GYM
GENE	GYM
ER	A
STRAP	SHREK
GENE	GAME
PRODUCING	PRODUCEING
PHASY	C
SYNTHASE	SYNTASE
SYNTHASE	AH
SYNTHESIZE	CYNTHIZE
GENE	G
PROMOTER	COMPUTER
SITE	SIDE
GENE	GYM
MOLECULAR	MEDICAL
TRANSCRIPT	TRANSCRIBE
SYNTHASE	SYLLABUS
A	D
NUCLEOTIDE	NUCLETE
IT'S	IS
NAH	LAH
LABORATORY	THREE
N	AND
CHROMOSOME	CROMOSOME
CHROMOSOME	<NOISE>
CHROMOSOME	COMMANDOSOME
CAPTURE	CULTURE
CAPTURE	CULTURE
CHROMOSOME	CHROMOZOSOME
CHROMOSOME	PROMOSUM
SEGMENTATION	PRESENTATION
SEGMENTATION	PRESENTATION
MOLECULAR	MONICULAR
SEGMENTATION	PRESENTATION
MOLECULAR	MOLICULAR
SEGMENTATION	PRESENTATION
MOLECULAR	MOLICULAR
NO	TO
MATTER	WHETHER
AH	ER
OKAY	OK
JOURNAL	GENERAL
ENCOUNTER	ACCOUNT
OUTCOME	OUTCOM
MISSION	MIXTURE
TRIED	TRY
THESIS	TISE
NAH	LAH
DEFEND	DIFFERENT
NAH	AH
PAPER	PEOPLE
POSSIBILITIES	POSSIBILITY
POSSIBILITIES	POSIBILITY
FURTHER	THE
DEALING	DURING
METHODS	METHOD
READ	WRITE
THESE	THIS
MAINLY	MANY
NATION	DONATION
CARE	CAMP
BACTERIA	MATERIAL
TAIL	IDEA
N	AND
FACILITIES	FACILITY
BENCH	BATCH
AUTOCLAVE	LIFE
ER	AH
SET	SETS
SPECIFICALLY	SPECIFICLY
R	I
WEARING	VERY
GLOVE	GIRLS
ER	A
BACTERIA	MATERIAL
N	AND
EUCARYOTE	CURRENT
ONCE	ONE
SYNTHESIZE	SCIENCE
METHYLATED	MICARATED
CAP	CAMP
TAIL	QUALITY
DEGRADATION	DEVINATION
RATE	OVERRATE
HUMAN	YOU
EUCARYOTE	CORRECT
CIRCLE	LIFECLE
ER	AH
THERE	THEN
CLOCK	O'CLOCK
LET	LET'S
CLOCK	TRAVEL
CONTEMPORARY	TEMPORARY
ACCOMPLISH	ENGLISH
FINE	FIVE
BALLROOM	BORING
CONTEMPORARY	TEMPORARY
LAH	LA
BECAUSE	YES
RATE	FAILUREATE
EUREKA	YUKA
HORSES	COURSES
WINNING	THE
HORSES	SIX
URINE	WIN
LAH	AH
DRUG	JUDS
STEROID	TWRIT
DAY	WEDNESDAY
LOH	LOR
HORSE	CROSS
SPORT	SPOT
RACE	RAISE
COLLECT	COLLECTED
OXYGEN	SEEGEN
IS	IT'S
IS	IT'S
NEVERTHELESS	REST
RACE	RAISE
RACE	RISK
FINE	FIVE
SUPERVISOR	FRIENDS
P	B
AH	REDRA
ANALYST	ANALYSIS
ANALYST	ANALYSIS
SYLLABLE	SYLLABUS
SYLLABLE	SYLLABUS
BRUSH	RUSH
SECURE	SKILL
PARENTS	BALANCE
YAHOO	MANAGER
LAH	AH
THROUGH	TWO
LOR	LOH
MATE	ROOMMATE
H	B
D	C
VARIOUS	WARIOUS
AH	LAH
CHROMOSOME	CROMOSOME
I	R
V	B
HEPATITIS	HYPOTHES
V	B
HEPATITIS	HYPOTITIES
DETAILS	DETAIL
DIAGNOSTIC	DIAOTIC
DIAGNOSTIC	GENETIC
DIAGNOSIS	SAY
DIAGNOSTIC	DIRECTLY
BECAUSE	WITH
PATIENT	STATION
DIAGNOSIIC	DENSITY
DIAGNOSTIC	LANDISTIC
DIAGNOSTIC	DIRECT
LAB	SLAB
DIAGNOSTIC	DYNOSTIC
ESTABLISH	EXCELATE
DEGREE	GRAD
ESTABLISH	EXAM
KITS	KIDS
SCRATCH	SKETCH
VACUUM	VACCUM
HEPATITIS	HYPOTIZE
BECAUSE	MEDIAS
I	R
V	B
DRUGS	JOBS
INJECT	INJEC
CANIDAE	CANADA
V	R
HECK	HEAD
IT'S	IS
IS	IT'S
MOLECULAR	MEDICAL
FAILURE	FUTURE
NOR	LOH
ENCOUNTER	ENCOURAGE
ACCIDENTAL	ACCIDENT
MANDI	MONDAY
BUNGA	BONUS
V	B
M	N
V	B
HAH	HA
LET	LET'S
POSTDOC	POST
POSTDOCTORAL	FACTORY
L	ANYWAY
T	C
MAMUSU	MAMO
ORGANIZATION	ORGANISATION
KI	GIVE
SIAO	UP
QUALIFICATION	SCHOLARSHIP
S	YEARS
POSTDOC	STOP
POSTDOCTORAL	FACTORY
STAFF	STUFF
DEAN	GAME
DEAN	GAME
BIO	WHILE
MESYUARAT	MACHINE
T	C
FACILITY	RESPONSIBILITY
LECTURER	LECTURE
SCIENTIST	SIGNIST
LECTURER	LECTURE
BOUNDARIES	BOUNDARY
STATE	INSTEAD
FACILITY	FACILITIES
FINE	FOR
MIGHT	MINUS
STATE	INSTEAD
ART	UP
HAH	HUH
THAT'S	THERE'S
GOAL	GO
THEN	THAT
CULTURING	TIRING
PERSON	PERCENT
DROP	JOB
PERSON	PERCENT
DOCTOR	AH
CO	CALL
DARK	DUCK
DARK	DUCK
DARK	DUCK
GRANT	RUN
CONSUMABLES	CONSUMERS
TUBE	QUEUE
GLOVE	LOVE
FRIEND	FRIENDS
LAH	AH
FRIEND	FRIENDS
FRIEND	FRENCH
UNTIL	TILL
LOH	LOR
PLATE	PLAY
INCURBATE	INCUBATE
INCURBATOR	INCUBATOR
FINE	FIGHT
NIGHT	OVERNIGHT
FINALLY	FUNNY
AM	I'M
WRITING	WRITEING
OH	LOR
WRITE	RIGHT
THESIS	SEE
THESIS	THISIS
IT'S	IS
VIVA	WHATEVER
MASTER	SEMESTER
THESIS	LIST
OH	HOR
VIVA	VA
EXTERNAL	EXAM
VIVA	YVA
NUCLEOTIDE	NEUOTIT
NUCLEOTIDE	NEUTY
FRAGMENT	SEGMENT
SEQUENCING	CIVILING
RADIOACTIVE	ACTIVE
PLOTTING	BALLING
BLOT	AH
HILARIOUS	HEROES
REACTION	DIRECTION
REACTION	QUESTION
BLOTTING	BALLTING
AH	HOR
COME	OVERCOM
MALAYSIAN	MALAYSIA
MAH	MA
FACILITIES	FACILITY
TAMIL	LOH
INTERNATIONAL	INDONESIA
MATHEMATIC	MATHEMATICS
IT'S	IS
MAHATHIR	DISK
FINE	FIND
IDEAL	IDEA
BUMI	BUMY
BUMIPUTRA	PUTRA
BUMIPUTRA	INPUTRA
BUMIPUTRA	BURA
CHEK	CHECK
LAU	THEN
CHEK	MAKE
MING	SURE
AS	S
MOLECULAR	MULTICULAR
FUNDAMENTAL	FUNDIMENTAL
IT'S	IS
NEEDS	NEED
MANKIND	TIME
ELASTICITY	ELECTRICITY
H	OKAY
LOH	OH
LET'S	LET
BACTERIA	MATERIAL
BACTERIA	MATERIAL
SUBSTRATE	SUBSCRATE
GENE	DREAM
RECOMBINANT	RECONINANT
ENZYMES	EXAM
IMPORTANCE	IMPORTANT
DOWNSTREAM	DOWNTREAM
RECOMBINANT	RECCOMVENNCE
NUCLEOTIDE	NEOCOTE
IMPORTANCE	IMPORTANT
GENE	GYM
PRECISELY	PROCESSING
OH	LOH
AR	ER
BACTERIA	MATERIAL
ISOLATE	LATE
SOIL	SONY
GROW	GREW
GROW	GOOGLE
A	PRESSURE
ISOLATE	IDOLATE
SPECIFICALLY	SPECIFIC
BACTERIA	MATERIAL
TASIK	PASSAGE
CHINI	JINI
PAHANG	PANG
ISOLATE	ESOLATE
SEGMENTATION	COMMUNICATION
BASED	BASE
NOR	OH
GENE	GYM
START	STAFF
SITE	SIDE
LOH	LOR
GENE	GYM
LICRYSTAL	CRYSTAL
X	EXCHANGE
RAY	EXCHANGE
SALT	SHOP
HARBLOW	HARBLO
BEST	PRESS
BULLETIN	SIMBERITY
ENZYMES	EXAM
CRYSTALLIZE	CRYSTALIZE
SCIENTIST	THIS
DIG	TAKE
LAH	AH
GOD	COURT
NAH	AH
BUNGEE	MAJIE
BUNGEE	RANKING
JUMP	GAMES
FINE	FIND
BUNGEE	G
JUMP	J
ZORB	ZOOP
ZORB	JOB
ZORB	RESULT
WAIHIKI	HEKEY
SHEEP	SHOP
COLOR	COLOUR
COLOR	BY
SHEEP	SHIT
SHEEP	SHIP
SHEEP	SHIP
SHEEP	SHEET
LORD	LOT
LORD	LOT
RING	WINDOWS
PUB	PARK
LIFESTYLE	AH
LIFESTYLE	STYLE
QUATOR	WAITER
QUATOR	WAITER
IT'S	IS
DEAD	THAT
DEAD	THAT
DEAD	THAT
QUATOR	GREATER
MO	MOH
IT'S	IS
ROOM	REAL
TEMP	TIME
TULIPS	TOLLIP
SHEEP	SHIP
SHEEP	CHEAP
CARAVAN	CAR
CARAVAN	CURRENT
AH	CARROMAN
CARAVAN	CURRENT
FRIDGE	STREET
BAKE	BIG
BAKE	BREAK
COOKIES	COOKIE
WALKING	WORKING
WALKING	WORKING
BANGKOK	COM
RICE	WISE
ECONOMY	ECONOMYISE
RICE	OH
ASIAN	AGENT
ASIAN	AGENT
ASIAN	AGENT
BRAVE	RICH
JUSTICE	JAZZIES
PHUKET	BUKIT
DEAD	THAT
